   lon          lat            geox            geoy        i     j     g 
   196.30029    64.865281       -458150.0       1689550.0    44     5   300 
   196.30238    64.865411       -458050.0       1689550.0    45     5   301 
   196.30447    64.865542       -457950.0       1689550.0    46     5   302 
   196.30655    64.865672       -457850.0       1689550.0    47     5   303 
   196.30864    64.865802       -457750.0       1689550.0    48     5   304 
   196.31073    64.865933       -457650.0       1689550.0    49     5   305 
   196.31281    64.866063       -457550.0       1689550.0    50     5   306 
   196.31490    64.866193       -457450.0       1689550.0    51     5   307 
   196.31699    64.866324       -457350.0       1689550.0    52     5   308 
   196.31908    64.866454       -457250.0       1689550.0    53     5   309 
   196.32116    64.866584       -457150.0       1689550.0    54     5   310 
   196.32325    64.866714       -457050.0       1689550.0    55     5   311 
   196.32534    64.866845       -456950.0       1689550.0    56     5   312 
   196.32743    64.866975       -456850.0       1689550.0    57     5   313 
   196.32951    64.867105       -456750.0       1689550.0    58     5   314 
   196.33160    64.867235       -456650.0       1689550.0    59     5   315 
   196.33369    64.867365       -456550.0       1689550.0    60     5   316 
   196.33578    64.867495       -456450.0       1689550.0    61     5   317 
   196.33786    64.867625       -456350.0       1689550.0    62     5   318 
   196.33995    64.867755       -456250.0       1689550.0    63     5   319 
   196.34204    64.867885       -456150.0       1689550.0    64     5   320 
   196.21087    64.858756       -462450.0       1689450.0     1     6   321 
   196.21296    64.858888       -462350.0       1689450.0     2     6   322 
   196.21504    64.859019       -462250.0       1689450.0     3     6   323 
   196.21713    64.859151       -462150.0       1689450.0     4     6   324 
   196.21922    64.859283       -462050.0       1689450.0     5     6   325 
   196.22130    64.859414       -461950.0       1689450.0     6     6   326 
   196.22339    64.859546       -461850.0       1689450.0     7     6   327 
   196.22547    64.859677       -461750.0       1689450.0     8     6   328 
   196.22756    64.859809       -461650.0       1689450.0     9     6   329 
   196.22965    64.859940       -461550.0       1689450.0    10     6   330 
   196.23173    64.860072       -461450.0       1689450.0    11     6   331 
   196.23382    64.860203       -461350.0       1689450.0    12     6   332 
   196.23591    64.860334       -461250.0       1689450.0    13     6   333 
   196.23799    64.860466       -461150.0       1689450.0    14     6   334 
   196.24008    64.860597       -461050.0       1689450.0    15     6   335 
   196.24217    64.860728       -460950.0       1689450.0    16     6   336 
   196.24425    64.860860       -460850.0       1689450.0    17     6   337 
   196.24634    64.860991       -460750.0       1689450.0    18     6   338 
   196.24843    64.861122       -460650.0       1689450.0    19     6   339 
   196.25051    64.861253       -460550.0       1689450.0    20     6   340 
   196.25260    64.861384       -460450.0       1689450.0    21     6   341 
   196.25469    64.861516       -460350.0       1689450.0    22     6   342 
   196.25677    64.861647       -460250.0       1689450.0    23     6   343 
   196.25886    64.861778       -460150.0       1689450.0    24     6   344 
   196.26095    64.861909       -460050.0       1689450.0    25     6   345 
   196.26303    64.862040       -459950.0       1689450.0    26     6   346 
   196.26512    64.862171       -459850.0       1689450.0    27     6   347 
   196.26721    64.862302       -459750.0       1689450.0    28     6   348 
   196.26929    64.862433       -459650.0       1689450.0    29     6   349 
   196.27138    64.862564       -459550.0       1689450.0    30     6   350 
   196.27347    64.862695       -459450.0       1689450.0    31     6   351 
   196.27555    64.862825       -459350.0       1689450.0    32     6   352 
   196.27764    64.862956       -459250.0       1689450.0    33     6   353 
   196.27973    64.863087       -459150.0       1689450.0    34     6   354 
   196.28181    64.863218       -459050.0       1689450.0    35     6   355 
   196.28390    64.863348       -458950.0       1689450.0    36     6   356 
   196.28599    64.863479       -458850.0       1689450.0    37     6   357 
   196.28808    64.863610       -458750.0       1689450.0    38     6   358 
   196.29016    64.863741       -458650.0       1689450.0    39     6   359 
   196.29225    64.863871       -458550.0       1689450.0    40     6   360 
   196.29434    64.864002       -458450.0       1689450.0    41     6   361 
   196.29642    64.864132       -458350.0       1689450.0    42     6   362 
   196.29851    64.864263       -458250.0       1689450.0    43     6   363 
   196.30060    64.864393       -458150.0       1689450.0    44     6   364 
   196.30269    64.864524       -458050.0       1689450.0    45     6   365 
   196.30477    64.864654       -457950.0       1689450.0    46     6   366 
   196.30686    64.864785       -457850.0       1689450.0    47     6   367 
   196.30895    64.864915       -457750.0       1689450.0    48     6   368 
   196.31103    64.865046       -457650.0       1689450.0    49     6   369 
   196.31312    64.865176       -457550.0       1689450.0    50     6   370 
   196.31521    64.865306       -457450.0       1689450.0    51     6   371 
   196.31730    64.865437       -457350.0       1689450.0    52     6   372 
   196.31938    64.865567       -457250.0       1689450.0    53     6   373 
   196.32147    64.865697       -457150.0       1689450.0    54     6   374 
   196.32356    64.865827       -457050.0       1689450.0    55     6   375 
   196.32564    64.865957       -456950.0       1689450.0    56     6   376 
   196.32773    64.866088       -456850.0       1689450.0    57     6   377 
   196.32982    64.866218       -456750.0       1689450.0    58     6   378 
   196.33191    64.866348       -456650.0       1689450.0    59     6   379 
   196.33399    64.866478       -456550.0       1689450.0    60     6   380 
   196.33608    64.866608       -456450.0       1689450.0    61     6   381 
   196.33817    64.866738       -456350.0       1689450.0    62     6   382 
   196.34026    64.866868       -456250.0       1689450.0    63     6   383 
   196.34234    64.866998       -456150.0       1689450.0    64     6   384 
   196.21118    64.857869       -462450.0       1689350.0     1     7   385 
   196.21327    64.858001       -462350.0       1689350.0     2     7   386 
   196.21535    64.858132       -462250.0       1689350.0     3     7   387 
   196.21744    64.858264       -462150.0       1689350.0     4     7   388 
   196.21953    64.858396       -462050.0       1689350.0     5     7   389 
   196.22161    64.858527       -461950.0       1689350.0     6     7   390 
   196.22370    64.858659       -461850.0       1689350.0     7     7   391 
   196.22578    64.858790       -461750.0       1689350.0     8     7   392 
   196.22787    64.858922       -461650.0       1689350.0     9     7   393 
   196.22996    64.859053       -461550.0       1689350.0    10     7   394 
   196.23204    64.859185       -461450.0       1689350.0    11     7   395 
   196.23413    64.859316       -461350.0       1689350.0    12     7   396 
   196.23622    64.859447       -461250.0       1689350.0    13     7   397 
   196.23830    64.859579       -461150.0       1689350.0    14     7   398 
   196.24039    64.859710       -461050.0       1689350.0    15     7   399 
   196.24248    64.859841       -460950.0       1689350.0    16     7   400 
   196.24456    64.859973       -460850.0       1689350.0    17     7   401 
   196.24665    64.860104       -460750.0       1689350.0    18     7   402 
   196.24874    64.860235       -460650.0       1689350.0    19     7   403 
   196.25082    64.860366       -460550.0       1689350.0    20     7   404 
   196.25291    64.860497       -460450.0       1689350.0    21     7   405 
   196.25499    64.860629       -460350.0       1689350.0    22     7   406 
   196.25708    64.860760       -460250.0       1689350.0    23     7   407 
   196.25917    64.860891       -460150.0       1689350.0    24     7   408 
   196.26125    64.861022       -460050.0       1689350.0    25     7   409 
   196.26334    64.861153       -459950.0       1689350.0    26     7   410 
   196.26543    64.861284       -459850.0       1689350.0    27     7   411 
   196.26751    64.861415       -459750.0       1689350.0    28     7   412 
   196.26960    64.861546       -459650.0       1689350.0    29     7   413 
   196.27169    64.861677       -459550.0       1689350.0    30     7   414 
   196.27378    64.861807       -459450.0       1689350.0    31     7   415 
   196.27586    64.861938       -459350.0       1689350.0    32     7   416 
   196.27795    64.862069       -459250.0       1689350.0    33     7   417 
   196.28004    64.862200       -459150.0       1689350.0    34     7   418 
